attr	ADAM9	ANXA1	ATF3	AURKA	BACE1	BGN	BIRC6	BUB1	CABLES2	CCNG2	CD55	CDC20	CHEK2	CKAP5	COL13A1	CTNNB1	CXXC5	DNAJB2	EGFR	ERBB2	ERBB3	EVL	FBLN1	FDPS	FGF13	FN1	FOS	FOXM1	FYN	GSK3B	GSN	HDAC3	HIPK2	HMGA2	HMGB2	HMGCR	HUWE1	ICAM1	IGF1R	IL4R	IL7R	ITGB8	JUN	KAT2A	LATS2	LIMK2	LRP1	LTBP3	MAD2L2	MAPK1	MAPK13	MAPK14	MAPK6	MAPKAPK2	MAPT	MEX3B	MOCOS	MVD	MVK	NDC80	NUF2	PAG1	PIAS1	PIAS3	PKIA	PLK1	PMVK	PPM1D	PRPF4	PTPRA	RASGRF1	RELA	RFWD2	RHOA	RHOD	ROCK1	RPS6KA1	RPS6KA5	RRM2B	S100A2	SELPLG	SERPINA1	SH3YL1	SHC1	SKIL	SMAD2	SMAD4	SNAI1	SNAP29	SNRPA	SREBF2	SRPK1	STAT3	STX6	TACC1	TAF12	TAF1B	TBL1X	TCF3	TGFA	TGFB1	TNIK	TNK2	TOP2A	TP53	TP53:SMAD2	TP63	TPR	TPX2	TRIM33	TRIOBP	UBE2I	VDR	VIM	WNT5A	ZBTB17
attractor18	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	0	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1	0	1	1	1	-1	1	1	-1	0	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	0	1	1	-1	1	0	1	1	1	1	1	1	0
attractor19	1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	-1	-1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	1	0
attractor20	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	-1	-1	1	-1	0	1	-1	1	1	-1	1	1	1	1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	-1	1	1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	0	1	1	1	-1	1	1	1	1	1	1	1	1	0
attractor21	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	0	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	0	1	1	1	-1	-1	1	1	1	1	1	1	1	0
attractor22	-1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	1	0	1	1	0	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	-1	0	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	0	1	1	1	-1	1	0	-1	1	1	1	1	1	0
attractor23	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	0	-1	0	0	1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	0	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1
attractor24	-1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	0	-1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	-1	0	-1	-1	1	-1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	0	0	1	1	-1	1	0	1	1	1	1	1	1	0
attractor25	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	0	0	1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	1	0	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	0	0	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1
attractor26	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	0	1	1	1	1	-1	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	0	1	0	0	1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	1	1	1	1	0	-1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	1
attractor27	1	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	0	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	-1	1	0	1	1	1	1	1	1	0
attractor28	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	-1	0	1	-1	-1	1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	0	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1
attractor29	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	-1	1	-1	1	1	0	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	0	1	1	-1	1	1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	1	1
attractor30	1	1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	-1	0	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	-1	0	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1
attractor31	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	-1	0	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	0	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1
attractor32	1	1	1	1	1	1	-1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	0	-1	0	0	1	1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	-1	0	1	0	0	0	-1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	0	1	1	1	1	1	1	0
attractor33	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	1	1	1	0	1	-1	1	1	1	-1	0	0	0	1	-1	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	-1	1	1	1	-1	1	-1	1	1	0
attractor34	1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	1	1	0	1	1	0	1	1	-1	1	1	1	0	0	0	1	1	1	1	1	1	1	-1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	0	1	1	-1	-1	1	1	1	1	1	1	1	0
attractor35	1	1	-1	1	1	1	-1	1	1	-1	-1	-1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	-1	0	1	0	0	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	0	0	1	1	-1	1	1	1	-1	1	1	1	-1	-1	1	1	0	0	-1	1	1	0	1	1	1	0	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1
attractor36	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	0	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1
attractor37	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	0	1	1	1	1	1	1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	0	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1
attractor38	1	1	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	0	1	-1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	0	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	1	0
attractor39	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	-1	0	0	1	1	-1	1	0	1	1	1	1	1	1	0
attractor40	1	1	1	1	1	1	-1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	0	0	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1
attractor41	1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	0	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	0	0	1	1	-1	1	1	1	1	1	1	1	1	0
attractor42	1	1	1	1	1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	-1	1	-1	1	-1	1	1	1	1	0	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	1	0
attractor43	1	1	1	1	1	1	1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	0	0	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	-1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	1	1	0	0	1	1	-1	-1	1	1	1	1	1	1	1	0
attractor44	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	0	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	1	0	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	1	0	1	1	1	-1	1	0	1	1	1	1	1	1	0
attractor45	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	-1	1	0	1	1	1	1	1	1	0
attractor46	1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	0	1	1	0	1	1	1	-1	1	1	0	1	0	1	1	1	1	1	1	0	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1	1	1	-1	1	1	1	1	-1	1	0	1	1	1	1	1	1	0
attractor47	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	-1	-1	1	0	-1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	1
